NUTS2;LAU2_CODE;LAU2_NAME;YEAR;INTERNAL_MIG_IMMIGRATION;INTERNATIONAL_MIG_IMMIGRATION;IMMIGRATION_TOTAL;INTERNAL_MIG_EMIGRATION;INTERNATIONAL_MIG_EMIGRATION;EMIGRATION_TOTAL
AT31;40101;Linz;2015;9693;6583;16276;9994;3171;13165
AT31;40201;Steyr;2015;1548;545;2093;1721;269;1990
AT31;40301;Wels;2015;2697;1401;4098;2857;774;3631
AT31;40401;Altheim;2015;198;73;271;195;28;223
AT31;40402;Aspach;2015;100;32;132;98;14;112
AT31;40403;Auerbach;2015;23;5;28;32;8;40
AT31;40404;Braunau am Inn;2015;808;357;1165;607;186;793
AT31;40405;Burgkirchen;2015;138;91;229;195;12;207
AT31;40406;Eggelsberg;2015;103;30;133;104;25;129
AT31;40407;Feldkirchen bei Mattighofen;2015;78;9;87;64;10;74
AT31;40408;Franking;2015;53;20;73;53;8;61
AT31;40409;Geretsberg;2015;75;25;100;80;15;95
AT31;40410;Gilgenberg am Weilhart;2015;40;16;56;30;8;38
AT31;40411;Haigermoos;2015;25;2;27;16;2;18
AT31;40412;Handenberg;2015;33;11;44;57;4;61
AT31;40413;Helpfau-Uttendorf;2015;207;95;302;278;35;313
AT31;40414;Hochburg-Ach;2015;67;58;125;58;45;103
AT31;40415;Höhnhart;2015;39;13;52;48;8;56
AT31;40416;Jeging;2015;27;8;35;32;5;37
AT31;40417;Kirchberg bei Mattighofen;2015;42;12;54;49;7;56
AT31;40418;Lengau;2015;205;61;266;177;37;214
AT31;40419;Lochen am See;2015;111;25;136;98;13;111
AT31;40420;Maria Schmolln;2015;107;15;122;90;5;95
AT31;40421;Mattighofen;2015;438;153;591;371;101;472
AT31;40422;Mauerkirchen;2015;275;118;393;251;64;315
AT31;40423;Mining;2015;35;13;48;44;2;46
AT31;40424;Moosbach;2015;74;4;78;49;5;54
AT31;40425;Moosdorf;2015;72;12;84;64;6;70
AT31;40426;Munderfing;2015;169;55;224;154;27;181
AT31;40427;Neukirchen an der Enknach;2015;97;11;108;90;4;94
AT31;40428;Ostermiething;2015;155;57;212;170;18;188
AT31;40429;Palting;2015;29;6;35;38;4;42
AT31;40430;Perwang am Grabensee;2015;40;8;48;32;13;45
AT31;40431;Pfaffstätt;2015;47;16;63;45;8;53
AT31;40432;Pischelsdorf am Engelbach;2015;53;27;80;77;7;84
AT31;40433;Polling im Innkreis;2015;40;6;46;55;4;59
AT31;40434;Roßbach;2015;23;9;32;40;2;42
AT31;40435;St. Georgen am Fillmannsbach;2015;13;3;16;18;2;20
AT31;40436;St. Johann am Walde;2015;64;20;84;53;19;72
AT31;40437;St. Pantaleon;2015;148;39;187;158;17;175
AT31;40438;St. Peter am Hart;2015;106;77;183;112;71;183
AT31;40439;St. Radegund;2015;23;2;25;31;0;31
AT31;40440;St. Veit im Innkreis;2015;7;1;8;17;0;17
AT31;40441;Schalchen;2015;188;53;241;221;29;250
AT31;40442;Schwand im Innkreis;2015;41;4;45;24;2;26
AT31;40443;Tarsdorf;2015;62;23;85;59;11;70
AT31;40444;Treubach;2015;20;17;37;28;9;37
AT31;40445;Überackern;2015;24;12;36;24;9;33
AT31;40446;Weng im Innkreis;2015;65;10;75;66;12;78
AT31;40501;Alkoven;2015;404;59;463;277;26;303
AT31;40502;Aschach an der Donau;2015;105;11;116;125;5;130
AT31;40503;Eferding;2015;348;36;384;315;18;333
AT31;40504;Fraham;2015;105;9;114;134;3;137
AT31;40505;Haibach ob der Donau;2015;30;4;34;36;1;37
AT31;40506;Hartkirchen;2015;188;7;195;111;13;124
AT31;40507;Hinzenbach;2015;105;21;126;124;4;128
AT31;40508;Prambachkirchen;2015;126;47;173;113;6;119
AT31;40509;Pupping;2015;138;13;151;154;9;163
AT31;40510;St. Marienkirchen an der Polsenz;2015;121;12;133;94;9;103
AT31;40511;Scharten;2015;149;38;187;186;9;195
AT31;40512;Stroheim;2015;54;1;55;63;2;65
AT31;40601;Freistadt;2015;549;77;626;367;45;412
AT31;40602;Grünbach;2015;59;4;63;63;2;65
AT31;40603;Gutau;2015;90;24;114;112;8;120
AT31;40604;Hagenberg im Mühlkreis;2015;186;6;192;148;7;155
AT31;40605;Hirschbach im Mühlkreis;2015;20;1;21;33;0;33
AT31;40606;Kaltenberg;2015;10;3;13;17;0;17
AT31;40607;Kefermarkt;2015;102;21;123;109;9;118
AT31;40608;Königswiesen;2015;63;10;73;49;0;49
AT31;40609;Lasberg;2015;113;14;127;92;3;95
AT31;40610;Leopoldschlag;2015;51;10;61;29;5;34
AT31;40611;Liebenau;2015;29;5;34;41;1;42
AT31;40612;Neumarkt im Mühlkreis;2015;116;12;128;97;8;105
AT31;40613;Pierbach;2015;37;5;42;34;3;37
AT31;40614;Pregarten;2015;219;38;257;199;10;209
AT31;40615;Rainbach im Mühlkreis;2015;158;31;189;106;17;123
AT31;40616;Sandl;2015;29;9;38;28;1;29
AT31;40617;St. Leonhard bei Freistadt;2015;29;5;34;44;1;45
AT31;40618;St. Oswald bei Freistadt;2015;123;15;138;107;10;117
AT31;40619;Schönau im Mühlkreis;2015;63;8;71;51;2;53
AT31;40620;Tragwein;2015;91;13;104;98;4;102
AT31;40621;Unterweißenbach;2015;40;2;42;61;3;64
AT31;40622;Unterweitersdorf;2015;73;8;81;64;4;68
AT31;40623;Waldburg;2015;26;4;30;39;4;43
AT31;40624;Wartberg ob der Aist;2015;198;36;234;183;11;194
AT31;40625;Weitersfelden;2015;21;1;22;16;0;16
AT31;40626;Windhaag bei Freistadt;2015;44;12;56;72;2;74
AT31;40627;Bad Zell;2015;111;33;144;109;11;120
AT31;40701;Altmünster;2015;455;120;575;435;53;488
AT31;40702;Bad Goisern am Hallstättersee;2015;205;68;273;237;33;270
AT31;40703;Bad Ischl;2015;557;218;775;549;75;624
AT31;40704;Ebensee;2015;267;91;358;224;44;268
AT31;40705;Gmunden;2015;851;355;1206;907;135;1042
AT31;40706;Gosau;2015;59;39;98;34;14;48
AT31;40707;Grünau im Almtal;2015;84;38;122;86;18;104
AT31;40708;Gschwandt;2015;122;14;136;135;3;138
AT31;40709;Hallstatt;2015;15;22;37;37;14;51
AT31;40710;Kirchham;2015;80;6;86;68;2;70
AT31;40711;Laakirchen;2015;533;130;663;485;51;536
AT31;40712;Obertraun;2015;18;33;51;41;12;53
AT31;40713;Ohlsdorf;2015;478;190;668;557;19;576
AT31;40714;Pinsdorf;2015;216;69;285;237;44;281
AT31;40715;Roitham;2015;83;14;97;84;7;91
AT31;40716;St. Konrad;2015;31;14;45;36;1;37
AT31;40717;St. Wolfgang im Salzkammergut;2015;91;46;137;92;36;128
AT31;40718;Traunkirchen;2015;79;21;100;85;4;89
AT31;40719;Scharnstein;2015;211;53;264;200;19;219
AT31;40720;Vorchdorf;2015;334;64;398;270;32;302
AT31;40801;Aistersheim;2015;69;8;77;49;8;57
AT31;40802;Bad Schallerbach;2015;387;89;476;260;41;301
